"query_accession"	"study_accession"	"title"	"abstract"	"description"	"study_type"	"center"	"submission_date"	"error"	"GSE"	"URL"
"SRP334724"	"PRJNA757827"	"Transcriptome of the methanol dissimilation pathway in Pichia pastoris"	""	"In the dissimilation pathway of Pichia pastoris, formaldehyde is oxidized to CO2 by formaldehyde dehydrogenase (FLD), s-hydroxymethyl glutathione hydrolase (FGH) and formate dehydrogenase (FDH). These three genes were knocked out separately in GS115. The transcriptional profiles of GS115 and dissimilation pathway knockout strains were developed in methanol culture, and designated as GS115, KO_FLD_M, KO_FGH_M and KO_FDH_M."	""	"South China University of Technology"	"2021-09-08"	""	""	"https://dee2.io/huge/pichia/SRP334724_NA.zip"
"SRP361344"	"PRJNA809210"	"Carbon source utilization of Pichia pastoris"	""	"Transcriptome comparison between the parent strain and gss1 deletion mutant were performed."	""	"Chinese Academy of Agricultural Sciences"	"2022-02-24"	""	""	"https://dee2.io/huge/pichia/SRP361344_NA.zip"
"SRP402769"	"PRJNA890185"	"Komagataella phaffii Transcriptome or Gene expression"	""	"Transcriptome analysis between wild type strain GS115 and N-glycosylation engineered strain Glyco4 at three sampling time, in order to investigate how the humanization of N-glycosylation pathway impairs the growth rate and cell morphology of P. pastoris"	""	"Zhejiang university"	"2022-10-15"	""	""	"https://dee2.io/huge/pichia/SRP402769_NA.zip"
"SRP420684"	"PRJNA930494"	"Komagataella phaffii Raw sequence reads"	""	"This bioproject contains 5 samples of RNA-seq data from the same strain grown in methanol or glycerol"	""	"Universidad Autonoma de Nuevo Leon"	"2024-03-30"	""	""	"https://dee2.io/huge/pichia/SRP420684_NA.zip"
"SRP420805"	"PRJNA931229"	"Transcriptomic profiling of the yeast Komagataella phaffii in response to environmental alkalinization"	""	"Adaptation to alkalinization of the medium in fungi involves an extensive remodeling of gene expression. Komagataella phaffii is an ascomycetous yeast that has become an organism widely used for heterologous protein expression. We explore here the transcriptional impact of moderate alkalinization in this yeast. In spite of a minor effect on growth, shifting the cultures from pH 5.5 to 8.0 or 8.2 provokes significant changes in the mRNA levels of over 700 genes. Functional categories such as arginine and methionine biosynthesis, non-reductive iron uptake and phosphate metabolism are enriched in induced genes, whereas many genes encoding iron-sulfur proteins or members of the respirasome were repressed. We also show that alkalinization is accompanied by oxidative stress and we propose this circumstance as a common trigger of a subset of the observed changes. PHO89, encoding a Na+/Pi cotransporter, appears among the most potently induced genes by high pH. We demonstrate that this response is mainly based on two calcineurin-dependent response elements located in its promoter, thus indicating that alkalinization triggers a calcium-mediated signal in K. phaffii. Further characterization of alkaline pH responsive promoters may lead to developing novel pH-controlled systems for heterologous protein expression in this fungus. Overall design: comparison of mRNA levels by RNA-Seq between Komagataella phaffii yeast cells grown at pH 5.5 (referene) and 8.0 (grown on glycerol or glucose) or 8.2 (grown on glycerol). Replicates are included."	""	"Yeast Molecular Biology, Biochemistry & Mol. Biol., UNIVERSITAT AUTONOMA BARCELONA"	"2023-04-14"	""	""	"https://dee2.io/huge/pichia/SRP420805_NA.zip"
"SRP458584"	"PRJNA1013119"	"Transcriptomic analysis of recombinant Komagataella phaffii at near-zero growth rates"	""	"RNASeq was utilised to examine alternations of the transcriptome of a nanobody producing Komagataella phaffii strain across a 200-fold range of growth rates. Samples are taken from either chemostat cultivations or from sampling points during a retentostat cultivation. Additional samples include those taken from a retentostat cultivation with a prolonged chemostat phase before retentostat initiation."	""	"BOKU - University of Natural Resources and Life Sciences Vienna"	"2024-01-15"	""	""	"https://dee2.io/huge/pichia/SRP458584_NA.zip"
"SRP482147"	"PRJNA1061507"	"CRISPR-Cas9 knockout screen informs efficient reduction of the Komagataella phaffii secretome"	""	"The yeast Komagataella phaffii is a promising alternative host for manufacturing of therapeutic proteins. Deletion of unneeded endogenous proteins could increase the secreted titer of recombinant proteins by redirecting cellular resources. Genetic engineering in non-model hosts is hampered by limited annotation of genes, especially essential genes. In this study, we identified the set of endogenous secreted proteins in K. phaffii and attempted to disrupt these genes. We designed, transformed, and sequenced a pooled CRISPR-Cas9 knockout library to determine which genes are essential. With this knowledge, we rapidly disrupted up to 9 consecutive genes in K. phaffii. Engineered strains exhibited a ~20x increase in the production of human serum albumin and a 2x increase in the production of a monoclonal antibody. The pooled CRISPR-Cas9 library and knowledge of gene essentiality reported here will facilitate future efforts to engineer K. phaffii for production of other recombinant therapeutic proteins and enzymes. Overall design: This experiment is a head to head comparison of the transcriptomes of two yeast strains. The strains are compared during expression of two proteins, human serum albumin (HSA) and trastuzumab."	""	"Koch Institute"	"2024-08-10"	""	""	"https://dee2.io/huge/pichia/SRP482147_NA.zip"
"SRP497117"	"PRJNA1090687"	"Targeted gene regulation using dMAD7 in the methylotrophic yeast Komagataella phaffii"	""	"Utilizing the catalytically inactive CRISPR interference system dMAD7, we conducted random integration experiments using dMAD7 containing plasmids to regulate the expression of the enhanced green fluorescence protein. We investigated the integration events through whole-genome sequencing and possible effects of the integration on mRNA level through RNA-sequencing."	""	"Medical University of Graz"	"2024-05-11"	""	""	"https://dee2.io/huge/pichia/SRP497117_NA.zip"
"SRP510774"	"PRJNA1118181"	"Gene expression pattern change upon H2O2 treatment in P. pastoris"	""	"Here we performed RNA-seq to examine gene expression difference in regular culture and H2O2 treated cells. Two strains were used here: GS115 (wild-type) and GS115-delta PAS_chr1-4_0287/PAS_chr1-1_0102/PAS_chr2-2_0494 (H3K36me3 deficient strain)."	""	"East China university of Science and Technology"	"2024-06-12"	""	""	"https://dee2.io/huge/pichia/SRP510774_NA.zip"
"SRP524418"	"PRJNA1144800"	"Characterizing heterologous protein burden in Komagataella phaffii"	""	"This is a study on the cellular response to burdensome heterologous protein production in Komagataella phaffii cell factories, which produce either the human insulin precursor or Mambalgin-1 peptide at various levels (tuning gene dosage and promoters). The aim of the study is to provide novel insight into the cellular response to heterologous protein production by investigating the transcriptome of K. phaffii cell factories, which can help identify important bottlenecks and point in the direction of the most beneficial mitigation strategies."	""	"DTU"	"2025-02-27"	""	""	"https://dee2.io/huge/pichia/SRP524418_NA.zip"
"SRP534992"	"PRJNA1165720"	"Specific features of the transcriptomic response to nitrogen starvation in methylotrophic yeast Komagataella phaffi"	""	"Non-conventional methylotrophic yeast Komagataella phaffii is an important production host in biotechnology and an emerging model organism. In this work, we studied K. phaffii response to nitrogen starvation during cultivation in media with methanol as the sole carbon source. The results were compared with well-established model yeast Saccharomyces cerevisiae. Some of the observed effects of nitrogen starvation in K. phaffii were similar to those in S. cerevisiae, despite this yeast does not have metabolic pathway for methanol utilization. The effects include activation of autophagy, transport and catabolism of nitrogen-containing compounds, interconversions of amino acids, and biosynthesis of fatty acids. K. phaffii cells also demonstrated specific response to nitrogen starvation including suppression of genes involved in methanol metabolism and other peroxisomal processes and activation of purine catabolism genes. Overall design: To investigate the impact of nitrogen starvation on K. phaffii we analyzed the transcriptome from three control replicates grown on the methanol-containing medium with a nitrogen source (ammonium sulfate) and three experimental replicates grown on the methanol-containing medium without a nitrogen source."	""	"Laboratory of biochemical genetics, Faculty of Biology, St. Petersburg State University"	"2024-10-07"	""	""	"https://dee2.io/huge/pichia/SRP534992_NA.zip"
"SRP541930"	"PRJNA1179660"	"Synthetic transcription factors establish the function of nine amino acid transactivation domains of Komagataella phaffii Mxr1"	""	"The zinc finger transcription factor Mxr1 (Methanol expression regulator 1) of the methylotropic yeast Komagataella phaffii, aka, Pichia pastoris, harbors a DNA binding domain (DBD) consisting of two C2h2 zinc fingers (Mxr1ZF) between amino acids 36-101 and previously identified nine amino acid activation domain (9aaTAD) between residues 365-373(TAD A). Beyond this 21 putative 9aaTADs (designated TAD B-V) located between amino acids 400-1155 remain to be characterized. Here, we demonstrate that a compact synthetic transcription factor composed of Mxr1ZF and three tandem copies of TAD A can activate the transcription of Mxr1 target genes for ethanol and methanol metabolism with specificity and efficiency comparable to the full-length protein. Expression of individual synthetic transcription factors containing Mxr1ZF and each of the 20 putative 9aaTADs in K. phaffii Dmxr1 strain revealed that 10 of these putative TADs are functional, capable of reversing the growth defect of the mutant and activating transcription of target genes required for ethanol and methanol metabolism.Functional analysis indicates that Mxr1 9aaTADs rely on General Control Non-derepressible 5 (Gcn5), a hsitone acetyltransferase, for transactivation. These findings suggest that recruitment of Gcn5-mediated histone acetylation at target promoters is a critical step in transcriptional activation by Mxr1 9aaTADs. This study represents the first comprehensive characterization of 9aaTADs in a K. phaffii zinc finger transcription factor, providing insights into their mechanism and potential applications in synthetic biology."	""	"Indian Institute of Science"	"2025-01-19"	""	""	"https://dee2.io/huge/pichia/SRP541930_NA.zip"
"SRP070669"	"PRJNA311606"	"Pichia pastoris transcriptomic studies"	""	"Transcriptomic studies of gene expression throughout cultivation on various carbon sources in three Pichia pastoris strains (Komagataella phaffii WT/GS115 and K. pastoris)"	""	"Massachusetts Institute of Technology"	"2016-08-10"	""	""	"https://dee2.io/huge/pichia/SRP070669_NA.zip"
"SRP557139"	"PRJNA1210090"	"Ferulic acid tolerance mechanisms in a vanillin-producing Komagataella phaffii"	""	"The bioconversion of lignocellulosic derivatives into high-value fine chemicals demonstrates immense potential for balancing sustainable utilization and value-added processing of renewable feedstock. Ferulic acid (FA), a lignocellulosic derivative abundant in plant cell walls, is a major bioavailable aromatic monomer, serves as a promising precursor for the biosynthesis of high-value aromatic products such as vanillin. However, the inherent toxicity of high-concentration of FA significantly inhibits cell growth, posing a major challenge in the development of efficient cell factories for the industrial production of high-value compounds from FA. In this study, we conducted a comprehensive transcriptome analysis of a vanillin-producing Komagataella phaffii cell factory under 20 mM FA stress, to investigate the molecular mechanisms underlying the strain's ability to withstand high-concentrations of FA. The data revealed that differentially expressed genes (DEGs) involved in cell membrane/wall defense, redox regulation, central carbon metabolism (CCM), oxidative phosphorylation, amino acid metabolism, and transcription and translation pathways were closely associated with the FA tolerance of the engineered K. phaffii. Protein interaction analysis and gene overexpression validation further identified KGD1, CIT1, SOD2, and TRP5 as key genes in the FA-stress tolerance regulation. This study offers an in-depth understanding of the FA tolerance mechanisms and metabolic engineering target genes of the K. phaffii cell factory, which could significantly contribute to the development of more efficient and robust cell factories for the biosynthesis of high-value compounds from FA using K. phaffii as a potent chassis cell."	""	"Chinese Academy of Agricultural Sciences"	"2025-01-24"	""	""	"https://dee2.io/huge/pichia/SRP557139_NA.zip"
"SRP566044"	"PRJNA1227200"	"Komagataella phaffii Raw sequence reads"	""	"The data from this project were used to study the transcriptional differences in the production of itaconic acid on cells caused by the metabolism of methanol by Komagataella phaffii."	""	"Shanghai Jiao Tong University"	"2025-04-05"	""	""	"https://dee2.io/huge/pichia/SRP566044_NA.zip"
"SRP585318"	"PRJNA1262845"	"The contribution of the transcription factors Crz1 and Rim101 to the response to alkalinization in Komagataella phaffii"	""	"In the industrially relevant yeast Komagataella phaffii, as in other yeasts, alkalinization of the medium results in fast and extensive transcriptional remodeling. This response has been useful to design novel methanol-free, regulatable platforms for heterologous protein expression. However, its molecular bases are fully unknown. Crz1 and Rim101/PacC are transcription factors known to contribute to the alkaline pH transcriptional responses in many fungi. We identified here the transcription factors Crz1 and Rim101 in K. phaffii and used CRISPR/Cas9 techniques to create single and double mutant strains. Phenotypic characterization shows that crz1 cells are strongly sensitive to Ca2+ ions, mildly sensitive to alkaline pH and hypertolerant to SDS. In contrast, rim101 cells are markedly hypersensitive to Na+ and Li+ ions, to alkaline pH and to SDS. RNA-seq transcriptomic analysis revealed that mutation of RIM101 affects 55% of genes whose expression is altered at pH 8.0, whereas lack of Crz1 alters only 11% of these. Thirty-eight genes are co-regulated by both Crz1 and Rim101. The PMC1 vacuolar Ca+2-ATPase is regulated by Crz1, whereas the ENA2 Na+-ATPase, the PHO89 and PHO84 phosphate transporters, and diverse genes involved in iron homeostasis are Rim101-dependent. These effects were confirmed by proteomic analyses after 3 h of alkalinization. Therefore, while Rim101 appears as a major player in the transcriptional response to alkalinization, nearly 40% of the alkaline pH transcriptional response in K. phaffii is controlled still unknown pathways. Overall design: Comparison of mRNA levels by RNA-Seq between Komagataella phaffii yeast cells grown on YP-glycerol at pH 5.5 (reference) and 8.0 (alkaline pH) for wild-type GS115 strain and cell mutated for PAS_chr3_0625 (RIM101) and PAS_chr2-2_0202 (CRZ1) transcription factors. Samples were taken after 0, 15, 30 and 60 min upon alkalinization of the medium."	""	"Yeast Molecular Biology, Biochemistry & Mol. Biol., UNIVERSITAT AUTONOMA BARCELONA"	"2025-09-08"	""	""	"https://dee2.io/huge/pichia/SRP585318_NA.zip"
"SRP599661"	"PRJNA1289153"	"Systematic Perturbation of Cultures of K. Phaffii Show Gene Signatures Associated with 1 Specific Productivity of Recombinant Proteins [K. phaffii S-1076 RNA-seq]"	""	"Demand for recombinant proteins is rapidly growing, driven by their use as 16 biotherapeutics, vaccine components, industrial enzymes, and food ingredients. The growing market requires novel strategies for increasing specific productivity (qp) of cellular hosts. Systems-level frameworks have been used to improve productivity, but have had difficulty relating complex cellular pathways with protein expression. Here, we demonstrate a method for mapping relationships between gene expression signatures and complex phenotypes related to recombinant protein productivity. Our approach induces systematic perturbations in cultures of K. Phaffii using varied co-feeds of carbon sources. The different carbon sources significantly impacted cell growth, specific productivity, and transcriptional states. With these data, we identified scale-independent metagenes that explained significant transcriptomic variance and strongly associated with complex cellular phenotypes, including qp and response to methanol induction for both IgG1 and VHH. We used these results to identify and knockout 31 novel gene targets whose expression inversely correlated with productivity. Ten of these genes improved productivity of IgG1 by up to 3x, and 17 genes increased productivity of VHH by up to 1.7x without impacting cell growth. This study identified ten groups of carbon co-feeds which induce similar transcriptomic states. We systematically perturbated cultures of K. phaffii using these co-feeds and identified phenotype-associated metagenes. Using the productivity-correlated metagene, we identified 10-17 genes which improved recombinant protein productivity when knocked out. This framework for relating gene signatures to complex cellular phenotypes could provide useful metrics for assessing 37 production processes and identifying new targets for cellular engineering. Overall design: Gene expression data for K. phaffii strain (S-1076) expressing the monoclonal antibody (mAb) trastuzumab grown in glycerol-containing complex media, then exchanged into complex media with 10 mM Glutathione containing eight different carbon coifeeds, three different co-feed concentrations, and three different methanol concentrations (8x3x3=72 conditions) with 2-3 replicates per condition."	""	"Koch Institute"	"2026-03-15"	""	""	"https://dee2.io/huge/pichia/SRP599661_NA.zip"
"SRP599672"	"PRJNA1289154"	"Systematic Perturbation of Cultures of K. Phaffii Show Gene Signatures Associated with 1 Specific Productivity of Recombinant Proteins [K. phaffii S-953 RNA-seq]"	""	"Demand for recombinant proteins is rapidly growing, driven by their use as 16 biotherapeutics, vaccine components, industrial enzymes, and food ingredients. The growing market requires novel strategies for increasing specific productivity (qp) of cellular hosts. Systems-level frameworks have been used to improve productivity, but have had difficulty relating complex cellular pathways with protein expression. Here, we demonstrate a method for mapping relationships between gene expression signatures and complex phenotypes related to recombinant protein productivity. Our approach induces systematic perturbations in cultures of K. Phaffii using varied co-feeds of carbon sources. The different carbon sources significantly impacted cell growth, specific productivity, and transcriptional states. With these data, we identified scale-independent metagenes that explained significant transcriptomic variance and strongly associated with complex cellular phenotypes, including qp and response to methanol induction for both IgG1 and VHH. We used these results to identify and knockout 31 novel gene targets whose expression inversely correlated with productivity. Ten of these genes improved productivity of IgG1 by up to 3x, and 17 genes increased productivity of VHH by up to 1.7x without impacting cell growth. This study identified ten groups of carbon co-feeds which induce similar transcriptomic states. We systematically perturbated cultures of K. phaffii using these co-feeds and identified phenotype-associated metagenes. Using the productivity-correlated metagene, we identified 10-17 genes which improved recombinant protein productivity when knocked out. This framework for relating gene signatures to complex cellular phenotypes could provide useful metrics for assessing 37 production processes and identifying new targets for cellular engineering. Overall design: Gene expression data for K. phaffii strain (S-953) expressing 3B2 Variable domain of the Heavy Chain (VHH) nanobody grown in glycerol-containing complex media, then exchanged into complex media containing eight different carbon coifeeds, three different co-feed concentrations, and three different methanol concentrations (8x3x3=72 conditions) with 2-3 replicates per condition."	""	"Koch Institute"	"2026-03-15"	""	""	"https://dee2.io/huge/pichia/SRP599672_NA.zip"
"SRP647794"	"PRJNA1367964"	"Enhancing the Secretion Efficiency of Heterologous Proteins in Pichia pastoris through N-Glycosylation and SOD1-Mediated Redox Regulation"	""	"This project presents the RNA seq data generated from two engineered strains of the methylotrophic yeast Pichia pastoris GS115, which exhibit differential secretion efficiencies for enhanced green fluorescent protein. These strains, designated GS115-High and GS115-Low, were constructed through site-directed mutagenesis of glycosylation sites within the alpha-mating factor signal peptide. The primary objective of this study was to investigate the global transcriptional mechanisms underlying divergent protein secretion capacities. Comparative transcriptomic analysis between the high and low secretion strains revealed significant upregulation of the superoxide dismutase gene and enhanced oxidoreductase activity in the GS115-High strain, suggesting a critical link between efficient protein secretion and robust cellular antioxidant defense. Additionally, pathways related to amino acid metabolism were notably altered, indicating a synergistic reallocation of metabolic resources. This dataset provides valuable insights into the cooperative interplay between protein processing and redox homeostasis, serving as a key resource for understanding and engineering P. pastoris for improved heterologous protein production."	""	"FUJIAN NORMAL UNIVERSITY"	"2025-11-25"	""	""	"https://dee2.io/huge/pichia/SRP647794_NA.zip"
"SRP094666"	"PRJNA355965"	"Transcriptome analysis of mig1Δmig2Δ mutant of Pichia pastoris GS115"	""	"Transcriptome analysis of mig1Δmig2Δ mutant reveals their roles in derepression of alcohol oxidase expression and methanol metabolism regarding biological processes in methylotrophic yeast Pichia pastoris"	""	"East China University of Science and Technology"	"2017-04-19"	""	""	"https://dee2.io/huge/pichia/SRP094666_NA.zip"
"SRP108485"	"PRJNA388897"	"Development of a general defined media for Pichia pastoris"	""	"Pichia pastoris is widely used as a host for recombinant protein production. More than 500 proteins have been expressed in the organism at a variety of cultivation scales, from small shake flasks to large bioreactors. Large-scale fermentation strategies typically employ chemically-defined growth media because of its greater batch-to-batch consistency and in many cases, lower cost compared to complex media. For biopharmaceuticals, defined growth media may also simplify downstream purification and regulatory documentation. Standard formulations of defined media for Pichia are minimal ones that lack the metabolic intermediates provided by complex components such as peptone and yeast extract. As a result, growth rates and per-cell productivities are significantly lower than in complex media. We have designed an improved defined media for Pichia pastoris, rich defined medium (RDM), by systematically evaluating nutrients of increasing complexity and identifying those that are most critical for growth. We have also demonstrated the use of RDM for expression of three heterologous proteins, at titers comparable to or higher than in standard complex medium. Rich defined medium has the potential to improve productivity of Pichia pastoris fermentations and accelerate process development for new molecules. Overall design: There are 12 samples, representing 3 conditions and 4 replicates for each condition. The 3 conditions are different media formulations --------------------- mcbart_FPKM.xlsx.gz: normalized abundance measurements mcbart_rawcounts.xlsx.gz: raw counts WT.v1.fa.gz: fasta format genome assembly phaffii_WT.c2.gtf.gz: gtf format gene annotation file mcbart_GeneIDtoSymbol.xlsx.gz: excel file linking gene IDs in gtf file to informative symbols"	""	"Koch Institute"	"2019-05-24"	""	""	"https://dee2.io/huge/pichia/SRP108485_NA.zip"
